scale,inner_size,area_percent,num_images,mass_threshold,original_k_mean,original_k_median,original_k_p10,original_k_p90,original_realized_mass_mean_percent,retained_mass_mean_percent,retained_mass_median_percent,retained_mass_p10_percent,retained_mass_p90_percent,retained_mass_ge_80_percent,retained_mass_ge_90_percent,retained_mass_ge_95_percent,nucleus_overlap_mean_percent,nucleus_overlap_median_percent,nucleus_overlap_p10_percent,nucleus_overlap_p90_percent,nucleus_overlap_ge_70_percent,nucleus_overlap_ge_80_percent,nucleus_overlap_ge_90_percent
1.0,336,100.0,427,0.9,4.775175644028103,2.0,1.0,9.400000000000034,93.11469154000561,93.11469154000561,92.71197319030762,90.22624254226685,96.81872367858887,100.0,100.0,27.166276346604217,99.98537693766032,100.0,100.0,100.0,100.0,100.0,100.0
1.5,224,44.44444444444444,427,0.9,4.775175644028103,2.0,1.0,9.400000000000034,93.11469154000561,92.81950304044773,93.56840252876282,89.21656370162964,96.7607319355011,98.36065573770492,84.77751756440281,32.55269320843091,95.3944248881549,100.0,79.57894736842105,100.0,95.31615925058547,89.92974238875878,81.9672131147541
2.0,168,25.0,427,0.9,4.775175644028103,2.0,1.0,9.400000000000034,93.11469154000561,92.19931708845098,93.29906702041626,87.69919753074646,96.79426074028015,97.65807962529274,79.85948477751757,30.913348946135834,92.97501831160439,100.0,70.3529411764706,100.0,90.1639344262295,84.30913348946136,76.34660421545667
2.5,134,16.0,427,0.9,4.775175644028103,2.0,1.0,9.400000000000034,93.11469154000561,91.1608916081366,92.63148307800293,86.62613153457642,96.77586555480957,97.42388758782201,72.8337236533958,26.229508196721312,91.69085350173205,100.0,66.66666666666667,100.0,87.58782201405153,81.73302107728337,74.00468384074942
3.0,112,11.11111111111111,427,0.9,4.775175644028103,2.0,1.0,9.400000000000034,93.11469154000561,90.77697768109465,92.74945259094238,85.84543347358704,96.81458592414856,96.01873536299766,74.7072599531616,25.76112412177986,89.8548727676801,100.0,64.28571428571429,100.0,83.13817330210773,75.87822014051523,71.89695550351288
